lemma	regular	irregular	lemma_cohort	regular_cohort	irregular_cohort
light	lighted	lit	AY. T$	AY. T AH. D$	IH. T$
wake	waked	woke	EY. K$	EY. K T$	OW. K$
sneak	sneaked	snuck	IY. K$	IY. K T$	AH. K$
weave	weaved	wove	IY. V$	IY. V D$	OW. V$
dive	dived	dove	AY. V$	AY. V D$	OW. V$
smell	smelled	smelt	EH. L$	EH. L D$	EH. L T$
wed	wedded	wed	EH. D$	EH. D IH. D$	EH. D$
quit	quitted	quit	IH. T$	IH. T IH. D$	IH. T$
spell	spelled	spelt	EH. L$	EH. L D$	EH. L T$
shine	shined	shone	AY. N$	AY. N D$	OW. N$
tell	telled	told	EH. L$	EH. L D$	OW. L D$
leap	leaped	leapt	IY. P$	IY. P T$	EH. P T$
build	builded	built	IH. L D$	IH. L D IH. D$	IH. L T$
plead	pleaded	pled	IY. D$	IY. D IH. D$	EH. D$
learn	learned	learnt	ER. N$	ER. N D$	ER. N T$
heave	heaved	hove	IY. V$	IY. V D$	OW. V$
dwell	dwelled	dwelt	EH. L$	EH. L D$	EH. L T$
wet	wetted	wet	EH. T$	EH. T IH. D$	EH. T$
burn	burned	burnt	ER. N$	ER. N D$	ER. N T$
kneel	kneeled	knelt	IY. L$	IY. L D$	EH. L T$
spoil	spoiled	spoilt	OY. L$	OY. L D$	OY. L T$
awake	awaked	awoke	EY. K$	EY. K T$	OW. K$
know	knowed	knew	OW.$	OW. D$	UW.$
speed	speeded	sped	IY. D$	IY. D IH. D$	EH. D$
lay	laid	lay	EY.$	EY. D$	EY.$
spill	spilled	spilt	IH. L$	IH. L D$	IH. L T$
throw	throwed	threw	OW.$	OW. D$	UW.$
strew	strewed	strew	UW.$	UW. D$	UW.$
hear	heared	heard	IY. R$	IH. R D$	ER. D$
knit	knitted	knit	IH. T$	IH. T AH. D$	IH. T$
hang	hanged	hung	AE. NG$	AE. NG D$	AH. NG$
dream	dreamed	dreamt	IY. M$	IY. M D$	EH. M T$
catch	catched	caught	AE. CH$	AE. CH T$	AA. T$
lean	leaned	leant	IY. N$	IY. N D$	IY. N T$
draw	drawed	drew	AO.$	AO. D$	UW.$
grow	growed	grew	OW.$	OW. D$	UW.$
